Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
2017/18,1,British Transport Police,Assault with injury,Violence against the person,Violence with injury,8N, 538 
2017/18,1,British Transport Police,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 1 
2017/18,1,British Transport Police,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 25 
2017/18,1,British Transport Police,Assault without injury,Violence against the person,Violence without injury,105A, 1433 
2017/18,1,British Transport Police,Assault without injury on a constable,Violence against the person,Violence without injury,104, 126 
2017/18,1,British Transport Police,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D,-00 
2017/18,1,British Transport Police,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,1,British Transport Police,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,1,British Transport Police,Attempted Burglary Residential,Theft offences,Domestic burglary,28F,-00 
2017/18,1,British Transport Police,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,1,British Transport Police,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,-00 
2017/18,1,British Transport Police,Attempted murder,Violence against the person,Violence with injury,2, 1 
2017/18,1,British Transport Police,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,-00 
2017/18,1,British Transport Police,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,1,British Transport Police,Blackmail,Theft offences,Other theft offences,35,-00 
2017/18,1,British Transport Police,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 118 
2017/18,1,British Transport Police,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,1,British Transport Police,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,1,British Transport Police,Burglary Residential,Theft offences,Domestic burglary,28E,-00 
2017/18,1,British Transport Police,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,1,British Transport Police,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,1,British Transport Police,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8,-00 
2017/18,1,British Transport Police,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,1,British Transport Police,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4,-00 
2017/18,1,British Transport Police,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,1,British Transport Police,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A,-00 
2017/18,1,British Transport Police,Child abduction,Violence against the person,Violence without injury,13,-00 
2017/18,1,British Transport Police,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,1,British Transport Police,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,1,British Transport Police,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B,-00 
2017/18,1,British Transport Police,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A,-00 
2017/18,1,British Transport Police,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 192 
2017/18,1,British Transport Police,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 2 
2017/18,1,British Transport Police,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 108 
2017/18,1,British Transport Police,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,-00 
2017/18,1,British Transport Police,Dishonest use of electricity,Theft offences,Other theft offences,43, 2 
2017/18,1,British Transport Police,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,1,British Transport Police,Distraction Burglary Residential,Theft offences,Domestic burglary,28G,-00 
2017/18,1,British Transport Police,Endangering life,Violence against the person,Violence with injury,5E, 36 
2017/18,1,British Transport Police,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24,-00 
2017/18,1,British Transport Police,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 39 
2017/18,1,British Transport Police,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60,-00 
2017/18,1,British Transport Police,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814,-00 
2017/18,1,British Transport Police,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 31 
2017/18,1,British Transport Police,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 15 
2017/18,1,British Transport Police,Harassment,Violence against the person,Stalking and harassment,8L, 30 
2017/18,1,British Transport Police,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,British Transport Police,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,British Transport Police,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,1,British Transport Police,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,1,British Transport Police,Incest or familial sexual offences,Sexual offences,Other sexual offences,23,-00 
2017/18,1,British Transport Police,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,1,British Transport Police,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 18 
2017/18,1,British Transport Police,Kidnapping,Violence against the person,Violence without injury,36, 2 
2017/18,1,British Transport Police,Making off without payment,Theft offences,Other theft offences,49A, 10 
2017/18,1,British Transport Police,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 36 
2017/18,1,British Transport Police,Malicious Communications,Violence against the person,Stalking and harassment,8R,-00 
2017/18,1,British Transport Police,Modern slavery,Violence against the person,Violence without injury,106,-00 
2017/18,1,British Transport Police,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 2 
2017/18,1,British Transport Police,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69,-00 
2017/18,1,British Transport Police,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 1829 
2017/18,1,British Transport Police,Other drug offences,Drug offences,Possession of drugs,92C,-00 
2017/18,1,British Transport Police,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81,-00 
2017/18,1,British Transport Police,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 10 
2017/18,1,British Transport Police,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,1,British Transport Police,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C, 2 
2017/18,1,British Transport Police,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 16 
2017/18,1,British Transport Police,Other offences against the State or public order,Public order offences,Public order offences,66, 232 
2017/18,1,British Transport Police,Other theft,Theft offences,Other theft offences,49, 2235 
2017/18,1,British Transport Police,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,-00 
2017/18,1,British Transport Police,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 8 
2017/18,1,British Transport Police,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 72 
2017/18,1,British Transport Police,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 213 
2017/18,1,British Transport Police,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 75 
2017/18,1,British Transport Police,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A, 4 
2017/18,1,British Transport Police,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 11 
2017/18,1,British Transport Police,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 3 
2017/18,1,British Transport Police,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 38 
2017/18,1,British Transport Police,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,1,British Transport Police,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 1 
2017/18,1,British Transport Police,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 1736 
2017/18,1,British Transport Police,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 16 
2017/18,1,British Transport Police,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 75 
2017/18,1,British Transport Police,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 1 
2017/18,1,British Transport Police,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M, 1 
2017/18,1,British Transport Police,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 554 
2017/18,1,British Transport Police,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 5 
2017/18,1,British Transport Police,Rape of a female child under 13,Sexual offences,Rape offences,19E,-00 
2017/18,1,British Transport Police,Rape of a female child under 16,Sexual offences,Rape offences,19D,-00 
2017/18,1,British Transport Police,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F,-00 
2017/18,1,British Transport Police,Rape of a male child under 13,Sexual offences,Rape offences,19H,-00 
2017/18,1,British Transport Police,Rape of a male child under 16,Sexual offences,Rape offences,19G, 2 
2017/18,1,British Transport Police,Robbery of business property,Robbery,Robbery of business property,34A, 6 
2017/18,1,British Transport Police,Robbery of personal property,Robbery,Robbery of personal property,34B, 107 
2017/18,1,British Transport Police,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70,-00 
2017/18,1,British Transport Police,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21,-00 
2017/18,1,British Transport Police,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 4 
2017/18,1,British Transport Police,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 321 
2017/18,1,British Transport Police,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 12 
2017/18,1,British Transport Police,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 13 
2017/18,1,British Transport Police,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 1 
2017/18,1,British Transport Police,Sexual grooming,Sexual offences,Other sexual offences,88A, 2 
2017/18,1,British Transport Police,Shoplifting,Theft offences,Shoplifting,46, 723 
2017/18,1,British Transport Police,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27,-00 
2017/18,1,British Transport Police,Stalking,Violence against the person,Stalking and harassment,8Q, 2 
2017/18,1,British Transport Police,Theft by an employee,Theft offences,Other theft offences,41, 14 
2017/18,1,British Transport Police,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 104 
2017/18,1,British Transport Police,Theft from the person,Theft offences,Theft from the person,39, 1124 
2017/18,1,British Transport Police,Theft from vehicle,Theft offences,Theft from a vehicle,45, 167 
2017/18,1,British Transport Police,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40,-00 
2017/18,1,British Transport Police,Theft of mail,Theft offences,Other theft offences,42,-00 
2017/18,1,British Transport Police,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 1704 
2017/18,1,British Transport Police,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 113 
2017/18,1,British Transport Police,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 4 
2017/18,1,British Transport Police,Threats to kill,Violence against the person,Violence without injury,3B, 8 
2017/18,1,British Transport Police,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
2017/18,1,British Transport Police,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 12 
2017/18,1,British Transport Police,Unnatural sexual offences,Sexual offences,Other sexual offences,88D,-00 
2017/18,1,British Transport Police,Violent disorder,Public order offences,Public order offences,62A, 105 
2017/18,1,British Transport Police,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96,-00 
2017/18,1,Cambridgeshire,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 2 
2017/18,1,Cambridgeshire,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 2 
2017/18,1,Cambridgeshire,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73, 3 
